"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 19 08:29:26 UTC 2021","Fri Nov 19 08:29:27 UTC 2021","482","","","","","","workflow?pipeline=618d3051b0da95d27b103c60",""
"passed","Fri Nov 19 08:29:27 UTC 2021","Fri Nov 19 08:29:27 UTC 2021","81","","","","","","pipelines?projectId=6141d62d823f66daa6495879",""
